UG;Kd-Nr.;Name;PLZ;Ort;VVJ;VJ;AJ;VK;VT;Gruppe;UK;P;SP 1;SP 2;letzter Besuch;letztes Telefonat
311;200.080;rfompotyxrdggmjj;;Zwickau;88318,0406;69566,53896;35663,36293;;;;;;;;;
105;250.262;x;;Bad Wildbad;118692,505;15881,85012;54123,2423;;;;;;;;;
233;331.294;gvmzxzeyckz;;Harrislee;388697,6764;86488,52971;20258,02473;;;;;;;;;
233;331.642;hmiahkx;;Kronberg;108923,6725;13458,49437;100811,6906;;;;;;;;;
233;331.653;bsbcthyeol;;Essen;180627,5346;48234,73261;4228,782829;;;;;;;;;
224;111.520;jffguksr;;Muhr;-325,47258;2927,891929;27542,57883;;;;;;;;;
161;331.520;sehvhencnxxbs;;Troisdorf;28707,22223;152030,2832;66327,52542;;;;;;;;;
233;132.659;chbye;;Kapstadt;2517,812485;205,1249087;14095,66253;;;;;;;;;
161;130.166;y;;Zandt;195944,5462;56612,87601;39193,90365;;;;;;;;;
224;252.007;ihaawb;;Morbach;991,0618894;428,9417081;53688,8113;;;;;;;;;
233;133.033;vaasnxrvnunjt;;Ingolstadt;991,8576555;1266,049945;59363,70136;;;;;;;;;
161;331.710;nzqvljwhdsk;;Dinslaken-Hiesfeld;13490,91609;33011,91716;37605,37037;;;;;;;;;
233;331.554;ddklmtgh;;Schwerin;56635,19919;93114,24513;10996,97136;;;;;;;;;
233;116.884;vwofmghfcegspxnj;;Böblingen;4128,580874;2152,669157;36037,62345;;;;;;;;;
224;131.392;ofrgocqsdtj;;Nürnberg;666,4633301;2413,854003;17279,75483;;;;;;;;;
224;132.850;lfpqwirbqfpcru;;Hanau;1606,850956;1965,987657;24298,35049;;;;;;;;;
224;251.482;zdrajpdthuya;;Mannheim;5095,145459;1719,677843;19387,86664;;;;;;;;;
233;131.189;g;;Wien;662,8177526;515,4350676;30476,90867;;;;;;;;;
224;114.820;rmg;;Sangerhausen;3610,038232;3884,329629;11689,29538;;;;;;;;;
101;130.166;y;;Bietigheim-Bissingen;116473,2513;118210,1799;23685,53127;;;;;;;;;
101;122.644;mtdcxrtvfvx;;Amman;43534,18228;45345,09572;21790,6165;;;;;;;;;
331;331.499;gswapaanhnk;;Gladbeck;122,3524141;58869,16859;2429,794067;;;;;;;;;
233;104.688;zixgzqatlwibiisd;;Quedlinburg;6724,780091;1188,804196;10899,39887;;;;;;;;;
101;113.760;vx;;Attendorn;13784,57952;619,9269236;21301,11424;;;;;;;;;
231;331.554;ddklmtgh;;Schwelm;16722,78101;10227,31708;19804,73709;;;;;;;;;
231;331.294;gvmzxzeyckz;;Chisinau /Moldawien;26444,8439;35326,98554;9731,280315;;;;;;;;;
233;339.003;wjnt;;Lübeck;2681,068195;3326,81611;14881,727;;;;;;;;;
233;331.611;fsosqayyufvclmwj;;310 Blumenau-SC;2449,531521;99624,57801;22255,72905;;;;;;;;;
161;331.642;hmiahkx;;Mutterstadt;2106,534184;12531,28928;20482,78501;;;;;;;;;
224;112.690;xspeehestbf;;Seelze OT Letter;891,5653636;373,3561012;8046,989033;;;;;;;;;
233;116.944;zeizsbqqc;;Värmdö;194,1275401;1531,091951;21671,96907;;;;;;;;;
231;331.610;wdqdxfydcoilktujwq;;Kaiserslautern;35934,67688;3446,629137;24345,33595;;;;;;;;;
224;131.691;qzusynzenohyi;;Renningen;2847,33866;1407,056179;18833,03444;;;;;;;;;
224;130.935;yzam;;Monheim;4888,329752;3300,599883;8732,337553;;;;;;;;;
121;331.465;keeoneswaxcfjfz;;Bochum;18623,68873;44419,91026;19660,0888;;;;;;;;;
231;130.978;phfzaxrq;;LB Hoorn NH;99810,86378;38938,87811;25068,15496;;;;;;;;;
231;114.184;ia;;Lippetal;29680,81547;20266,60189;21719,12061;;;;;;;;;
161;339.011;ppxdszhlyyjgauz;;Gladbeck;101213,15;91176,37608;23412,38653;;;;;;;;;
101;141.826;ggxhcsh;;Hamburg;31631,58774;18938,65712;16020,3825;;;;;;;;;
161;331.711;arjefhw;;Berga;54,85126257;92994,12236;16057,81391;;;;;;;;;
161;339.046;lebigcw;;Aachen;161,8325655;4704,681608;20622,35016;;;;;;;;;
233;132.988;urbkrvqgjiemsdqrl;;Bad Oeynhausen;1332,982191;999,6879932;7397,155034;;;;;;;;;
101;251.841;kdnesdkxsqtjttl;;Osnabrück;10380,66725;23851,82586;10894,07736;;;;;;;;;
224;114.932;ztpgdpnenmdnyfwkd;;Straelen;617,7681295;7654,383602;15162,77875;;;;;;;;;
101;131.790;mupbmrp;;Mülheim an der Ruhr;437,5425935;9769,398467;14295,4734;;;;;;;;;
101;101.615;tnbafeicfsgs;;Bad Brückenau;22024,18226;31353,48883;2460,060529;;;;;;;;;
101;114.310;mcgtubjrgjqk;;Mettmann;33378,00634;36808,51653;12250,44242;;;;;;;;;
101;103.179;lc;;Künzelsau;41837,85049;31721,0106;5586,862438;;;;;;;;;
161;331.695;kwnuygwhiipontj;;Weilerswist;519,2914409;904,2496559;3286,884752;;;;;;;;;
161;331.343;uzxceeeinlhllxte;;Heddesheim;32495,55485;26784,86233;25095,92948;;;;;;;;;
101;112.844;pekenghbnquide;;Deggendorf;6146,12052;14346,31819;14710,05001;;;;;;;;;
233;132.069;qrssscldrucqzkwgq;;Straubing;19978,77229;800,7807748;20523,35287;;;;;;;;;
231;101.862;kxlyeketnlivpi;;Osnabrück;684,5081219;8615,408696;9415,229933;;;;;;;;;
111;331.608;c;;Mittenwalde;22523,92812;3429,377824;15171,14575;;;;;;;;;
233;601.797;yywtuffwwwfioo;;Dortmund;36762,52495;672,8656629;13407,00473;;;;;;;;;
101;104.003;uggdqfanymbs;;Loxstedt;5050,178314;1589,783118;14529,98972;;;;;;;;;
224;132.261;nqmmeuwu;;Nürnberg;1330,728947;390,4808917;348,433828;;;;;;;;;
161;331.714;pmtldwbwgcrvyxfok;;Aldenhoven;1078,688797;4188,429318;1989,690733;;;;;;;;;
101;101.968;jkmhskiamwxcnpifzc;;Bremen;28248,68424;38385,53265;15818,8693;;;;;;;;;
101;110.226;srqdejwot;;Sankt Augustin;20028,4015;12899,01223;3426,923887;;;;;;;;;
101;111.895;jisetdqggfjcpsglsy;;Gernsbach;41728,99849;2448,516617;9393,096057;;;;;;;;;
121;331.299;rbp;;Stolberg;1761,783367;34839,41209;16474,74099;;;;;;;;;
121;331.192;gknlj;;Köln;33210,97164;568,0891155;12996,71762;;;;;;;;;
161;132.144;wvhsvfnkran;;Eppstein;994,8069353;15217,42371;8776,400451;;;;;;;;;
101;102.829;iirvwnpsoip;;Schönthal;25276,09272;32901,79041;737,7846612;;;;;;;;;
231;331.465;keeoneswaxcfjfz;;Witzenhausen;30999,94767;21696,82497;10146,73822;;;;;;;;;
101;124.226;x;;Kastl;17894,7782;5147,502591;8906,494658;;;;;;;;;
101;131.899;fqqbmjhmxuoxr;;St. Georgen im Schwarzwald;1740,4978;6469,039401;8203,707756;;;;;;;;;
101;110.104;efufzhsiislidefy;;Sandhausen;53773,00179;73964,85114;13447,79013;;;;;;;;;
171;113.338;yi;;Mühltal;2940,938218;864,160061;15850,40092;;;;;;;;;
